Altium Designer Pick and Place Locations
C:\Users\Public\Documents\Altium\Loki Roki\Project Outputs for Loki Roki\Pick Place for PCB1__.txt

========================================================================================================================
File Design Information:

Date:       19-04-26
Time:       14:22
Revision:   7b53bfbc10d793905f7f6e0ebd587052c9c992c6
Variant:    No variations
Units used: mil

Designator Comment            Layer       Footprint                    Center-X(mil) Center-Y(mil) Rotation Description                                                                                                                               
R206       CR0402-JW-512GLF   TopLayer    RESC1005X40X25LL10T10        5780.000      2295.000      180      ""                                                                                                                                        
R205       CR0402-JW-512GLF   TopLayer    RESC1005X40X25LL10T10        5780.000      2220.000      180      ""                                                                                                                                        
R102       CR0402-JW-512GLF   BottomLayer RESC1005X40X25LL10T10        6742.953      2839.708      180      ""                                                                                                                                        
R101       CR0402-JW-512GLF   BottomLayer RESC1005X40X25LL10T10        6740.000      2950.000      180      ""                                                                                                                                        
C111       GRM155R61E105MA12D BottomLayer FP-GRM155-0_05-IPC_B         6230.000      3230.000      270      "Chip Multilayer Ceramic Capacitors for General Purpose, 0402, 1.0uF, X5R, 15%, 20%, 25V"                                                 
C201       0.1uF              TopLayer    FP-C0402-BB-MFG              6040.036      2327.706      90       "C0402 0.10 µF X7R 10.00% 10 V"                                                                                                           
J203       TMM-110-01-L-D     TopLayer    FP-TMM-110-01-L-D-0          5559.370      2800.670      270      "CONN HEADER VERT 20POS 2MM"                                                                                                              
Q103       Component_1        BottomLayer SOT90P240X110-3N             6500.000      2526.260      270      ""                                                                                                                                        
Q102       Component_1        BottomLayer SOT90P240X110-3N             6085.001      2525.000      270      ""                                                                                                                                        
U202       CP2102-GMR         TopLayer    SLAB-QFN-28-3125x3125TP_M    6435.206      2090.000      0        "Single-Chip USB to URAT Bridge, 3.3 V, -40 to 85 degC, 28-Pin QFN, RoHS, Tape and Reel"                                                  
U201       PAM8403DR          TopLayer    FP-SO-16-MFG                 6286.046      3404.558      90       "IC AMP CLASS D STEREO 3W 16SOP"                                                                                                          
U104       BQ29700DSER        BottomLayer FP-DSE0006A-IPC_B            6270.000      2683.141      180      "IC LITHIUM BATT PROTECT 6-SON"                                                                                                           
U103       TPS63001DRCR       BottomLayer DRC0010J_V                   6690.000      2260.000      270      "Buck-Boost Voltage Converter with 1.8 to 5.5 V Input and 3.3 V Output, -40 to 85 degC, 10-Pin SON (DRC), Green (RoHS & no Sb/Br)"        
U102       TPS63000IDRCRQ1    BottomLayer DRC0010A_V                   6710.000      3330.000      270      "Buck-Boost Voltage Converter with 1.8 to 5.5 V Input and 1.2 to 5.5 V Output, -40 to 85 degC, 10-Pin SON (DRC), Green (RoHS & no Sb/Br)" 
U101       BQ21040DBVR        BottomLayer FP-DBV0006A-MFG              6375.971      3251.920      0        "IC BATT CHG LI-ION 1CELL SOT23-6"                                                                                                        
R207       47                 TopLayer    FP-RMCF0402-MFG              5720.000      3285.315      90       "47O ±5% 0.063W 0402 Thick Film Chip Resistor AEC-Q200 compliant"                                                                         
